Method,Train_Percentage,learning_Rate,Cross_Validation_Fold,Accuracy,Bias,Variance,Skewness,Kurtosis,Entropy
Logistic Regression,60.0,3,Set - 1,0.9757575757575757,44.64066365809243,-36.26490237565315,-31.829958663221863,-36.57795152407697,1.7813353671712577
Logistic Regression,60.0,3,Set - 2,0.9454545454545454,29.970185623559857,-22.38681655557638,-21.67876224520781,-24.066215285185095,2.612103935141765
Logistic Regression,60.0,3,Set - 3,0.9817073170731707,27.68058428403971,-23.994277693394046,-19.896320658396288,-22.91819157158581,2.686127444413604
Logistic Regression,60.0,3,Set - 4,0.9512195121951219,44.82699504857071,-35.70805175666028,-33.2651278583032,-37.22120514982977,2.29598286729405
Logistic Regression,60.0,4,Set - 0,0.9636363636363636,42.689757112155675,-34.089071891748326,-31.310078866638904,-35.52416110895945,2.534705259520077
Logistic Regression,60.0,4,Set - 1,0.9878787878787879,40.25014997383208,-31.82398949804078,-29.392915922535142,-33.82033767200571,2.6769924252075628
Logistic Regression,60.0,4,Set - 2,0.9878787878787879,54.67997639578286,-41.190864501884995,-40.460352649865115,-44.30079211910304,0.8514315348170629
Logistic Regression,60.0,4,Set - 3,0.975609756097561,52.839216388959386,-40.484531537322916,-38.85555817448556,-43.71674139094425,1.3695125356511932
Logistic Regression,60.0,4,Set - 4,0.9451219512195121,25.423473260567093,-22.26244901284379,-17.586628042473464,-21.197536925541414,3.0332707194111417
Logistic Regression,60.0,5,Set - 0,0.9939393939393939,37.958820458716204,-28.357597487925684,-27.97756961670211,-31.84556184251789,2.011120736295165
Logistic Regression,60.0,5,Set - 1,0.9878787878787879,32.42239978419356,-27.245075308548813,-22.77432369297616,-26.88490318984851,2.6823670480057196
Logistic Regression,60.0,5,Set - 2,0.9515151515151515,83.51900984081529,-64.17616399669889,-61.93423327676769,-70.01070447672394,1.465799232374934
Logistic Regression,60.0,5,Set - 3,0.9634146341463414,82.03354521245267,-61.311517651523175,-60.666232430951034,-66.0739970463154,-0.3141924726677893
Logistic Regression,60.0,5,Set - 4,0.9878048780487805,39.22723997975932,-31.538355066720836,-28.469449754019085,-32.571826541292154,2.275707060092499
